Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp,Match,GENERIC_NAME,CHEMICAL_FORMULA,INCHI_KEY,EXACT_MASS,ALOGPS_LOGP,ALOGPS_LOGS,ALOGPS_SOLUBILITY,MOLECULAR_WEIGHT,SMILES,HMDB_ID,INCHI_IDENTIFIER,JCHEM_ACCEPTOR_COUNT,JCHEM_ACIDIC_PKA,JCHEM_BASIC_PKA,JCHEM_DONOR_COUNT,JCHEM_LOGP,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_POLARIZABILITY,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,IUPAC_NAME,TRADITIONAL_IUPAC_NAME,SYNONYMS
UMP,C9H13N2O9P,M+H,10580733.0,"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-N,6030.0,517.0,324.035867,9.0,5.0,21.0,C9H13N2O9P,4.0,166.0,-3.6,1,Uridine 5'-monophosphate,C9H13N2O9P,InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-N,324.035866536,-1.8,-1.4,12 g/L,324.1813,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,HMDB00288,"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",8,1.23,-3.7,5,-2.5,-2,26.3,165.86,63.44,4,"{[(2R,3S,4R,5R)-5-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","[(2R,3S,4R,5R)-5-(2,4-dioxo-3H-pyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxyphosphonic acid",5'-UMP;UMP;Uridine 5'-monophosphate;Uridine 5'-phosphate;Uridine 5'-phosphorate;Uridine 5'-phosphoric acid;Uridine mono(dihydrogen phosphate);Uridine monophosphate;Uridine phosphate;Uridine-5'-monophosphate;Uridylic acid
IMP,C10H13N4O8P,M+H,6057591.5,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",InChIKey=GRSZFWQUAKGDAV-KQYNXXCUSA-N,8582.0,555.0,348.0471,9.0,5.0,23.0,C10H13N4O8P,4.0,176.0,-3.7,1,Inosinic acid,C10H13N4O8P,InChIKey=GRSZFWQUAKGDAV-KQYNXXCUSA-N,348.047099924,-2,-2.1,3.05 g/L,348.206,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,HMDB00175,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",9,1.32,0.51,5,-2.9,-2,29.14,175.73,72.2,4,"{[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-6,9-dihydro-1H-purin-9-yl)oxolan-2-yl]methoxy}phosphonic acid","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methoxyphosphonic acid",5'-IMP;5'-Inosinate;5'-Inosine monophosphate;5'-Inosinic acid;IMP;Inosine 5'-monophosphate;Inosine 5'-phosphate;Inosine Monophosphate;Inosine-5'-monophosphate
Phosphoenolpyruvate,C3H5O6P,M+H,3320230.25,"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)",InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-N,1005.0,201.0,167.982375,6.0,3.0,10.0,C3H5O6P,3.0,104.0,-1.1,1,Phosphoenolpyruvic acid,C3H5O6P,InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-N,167.982374404,-1.2,-1.1,13.2 g/L,168.042,OC(=O)C(=C)OP(O)(O)=O,HMDB00263,"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)",5,0.76,,3,-0.64,-3,11.69,104.06,30.13,3,2-(phosphonooxy)prop-2-enoic acid,phosphoenolpyruvate,2-Hydroxy-Acrylic acid dihydrogen phosphate;2-Phosphonooxyprop-2-enoate;2-Phosphonooxyprop-2-enoic acid;P-Enol-pyruvate;PEP;Phosphoenolpyruvate
L-Glutamate,C5H9NO4,M+H,51942744.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-N,33032.0,145.0,147.053158,5.0,3.0,10.0,C5H9NO4,4.0,101.0,-3.7,1,L-Glutamic acid,C5H9NO4,InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-N,147.053157781,-3.5,-0.26,80.6 g/L,147.1293,N[C@@H](CCC(O)=O)C(O)=O,HMDB00148,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",5,1.88,9.54,3,-3.2,-1,13.49,100.62,31.29,4,(2S)-2-aminopentanedioic acid,L-glutamic acid,"(2S)-2-Aminopentanedioate;(2S)-2-Aminopentanedioic acid;(S)-(+)-Glutamate;(S)-(+)-Glutamic acid;(S)-2-Aminopentanedioate;(S)-2-Aminopentanedioic acid;(S)-Glutamate;(S)-Glutamic acid;1-Amino-propane-1,3-dicarboxylate;1-Amino-propane-1,3-dicarboxylic acid;1-Aminopropane-1,3-dicarboxylate;1-Aminopropane-1,3-dicarboxylic acid;2-Aminoglutarate;2-Aminoglutaric acid;2-Aminopentanedioate;2-Aminopentanedioic acid;a-Aminoglutarate;a-Aminoglutaric acid;a-Glutamate;a-Glutamic acid;Aciglut;alpha-Aminoglutarate;alpha-Aminoglutaric acid;alpha-Glutamate;alpha-Glutamic acid;Aminoglutarate;Aminoglutaric acid;E;Glt;Glu;Glusate;Glut;Glutacid;Glutamicol;Glutamidex;Glutaminate;Glutaminic acid;Glutaminol;Glutaton;L-(+)-Glutamate;L-(+)-Glutamic acid;L-a-Aminoglutarate;L-a-Aminoglutaric acid;L-alpha-Aminoglutarate;L-alpha-Aminoglutaric acid;L-Glu;L-Glutamate;L-Glutaminate;L-Glutaminic acid"
2-oxobutanoate,C4H6O3,M+H,896214.5625,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",InChIKey=TYEYBOSBBBHJIV-UHFFFAOYSA-N,58.0,95.1,102.031694,3.0,1.0,7.0,C4H6O3,2.0,54.4,0.1,1,2-Ketobutyric acid,C4H6O3,InChIKey=TYEYBOSBBBHJIV-UHFFFAOYSA-N,102.031694058,0.07,-0.11,79.2 g/L,102.0886,CCC(=O)C(O)=O,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",3,3.19,-9.7,1,0.77,-1,9.21,54.37,22.62,2,2-oxobutanoic acid,2-oxobutanoic acid,2-Ketobutanoate;2-Ketobutanoic acid;2-Ketobutyrate;2-Oxo-Butanoate;2-Oxo-Butanoic acid;2-Oxo-Butyrate;2-Oxo-Butyric acid;2-Oxo-N-butyrate;2-Oxo-N-butyric acid;2-Oxobutanoate;2-Oxobutanoic acid;2-Oxobutyrate;2-Oxobutyric acid;3-Methylpyruvate;3-Methylpyruvic acid;a-Keto-N-Butyrate;a-Keto-N-Butyric acid;a-Ketobutyrate;a-Ketobutyric acid;a-Oxo-N-butyrate;a-Oxo-N-butyric acid;a-Oxobutyrate;a-Oxobutyric acid;alpha-Keto-N-butyrate;alpha-Keto-N-butyric acid;alpha-Ketobutric acid;alpha-Ketobutyrate;alpha-Ketobutyric acid;alpha-Oxo-N-butyrate;alpha-Oxo-N-butyric acid;alpha-Oxobutyrate;alpha-Oxobutyric acid;Methyl-Pyruvate;Methyl-Pyruvic acid;Propionyl-formate;Propionyl-formic acid
2-Methylcitrate,C7H10O7,M+H,137388.046875,"InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)",InChIKey=YNOXCRMFGMSKIJ-UHFFFAOYSA-N,515.0,271.0,206.042653,7.0,4.0,14.0,C7H10O7,5.0,132.0,-1.4,1,2-Methylcitric acid,C7H10O7,InChIKey=YNOXCRMFGMSKIJ-UHFFFAOYSA-N,206.042652674,-0.89,-0.07,175 g/L,206.1501,CC(C(O)=O)C(O)(CC(O)=O)C(O)=O,HMDB00379,"InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)",7,3.18,-4.3,4,-0.78,-3,17.21,132.13,40.2,5,"2-hydroxy-1-methylpropane-1,2,3-tricarboxylic acid",2-methylcitric acid,"(2S,3S)-2-methylcitrate;2-Hydroxy-1,2,3-butanetricarboxylic acid;2-Hydroxybutane-1,2,3-tricarboxylate;2-Hydroxybutane-1,2,3-tricarboxylic acid;2-Methylcitrate;2-Methylcitric acid"
riboflavin,C17H20N4O6,M+H,6816983.0,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-N,493570.0,680.0,376.138284,7.0,5.0,27.0,C17H20N4O6,5.0,155.0,-1.5,1,Riboflavin,C17H20N4O6,InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-N,376.138284392,-1.1,-2.8,0.66 g/L,376.3639,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,HMDB00244,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",9,6.97,0.76,5,-0.92,-1,37.51,155.05,96.27,5,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2H,3H,4H,10H-benzo[g]pteridine-2,4-dione",riboflavin,"(-)-Riboflavin;1-Deoxy-1-(3,4-dihydro-7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10(2H)-yl)-D-ribitol;6,7-Dimethyl-9-D-ribitylisoalloxazine;6,7-Dimethyl-9-ribitylisoalloxazine;7,8-Dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)-Benzo[g]pteridine-2,4(3H,10H)-dione;Beflavin;Beflavine;Benzo[g]pteridine riboflavin deriv.;E 101;Flavaxin;Flavin BB;Flaxain;Food Yellow 15;Hyre;Lactobene;Lactoflavin;Lactoflavine;Ribipca;Ribocrisina;Riboderm;Riboflavine;Ribosyn;Ribotone;Ribovel;Russupteridine yellow III;San Yellow B;Vitaflavine;Vitamin B2;Vitamin G;Vitasan B2"
methylglyoxal,C3H4O2,M+H,76205.7265625,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",InChIKey=AIJULSRZWUXGPQ-UHFFFAOYSA-N,880.0,55.9,72.021129,2.0,0.0,5.0,C3H4O2,1.0,34.1,-0.4,1,Pyruvaldehyde,C3H4O2,InChIKey=AIJULSRZWUXGPQ-UHFFFAOYSA-N,72.021129372,-0.38,0.4,180 g/L,72.0627,CC(=O)C=O,HMDB01167,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",2,16.38,-8,0,0.2,0,6.44,34.14,17.05,1,2-oxopropanal,pyruvoyl group,"1,2-Propanedione;1-Ketopropionaldehyde;2-Keto Propionaldehyde;2-Ketopropionaldehyde;2-Oxo-Propionaldehyde;2-Oxopropanal;Acetylformaldehyde;Acetylformyl;alpha-Ketopropionaldehyde;Ketopropionaldehyde;Methylglyoxal;Propanedione;Propanolone;Pyroracemic aldehyde;Pyruvaldehyde;Pyruvic aldehyde"
ADP,C10H15N5O10P2,M+H,3254912.0,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-N,6022.0,638.0,427.029415,14.0,6.0,27.0,C10H15N5O10P2,6.0,233.0,-4.6,1,ADP,C10H15N5O10P2,InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-N,427.029414749,-1.6,-2.1,3.27 g/L,427.2011,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,HMDB01341,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",12,1.77,4.99,6,-5.3,-2,34.24,232.6,84.94,6,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]phosphonic acid","{[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy(hydroxy)phosphoryl}oxyphosphonic acid",Adenosindiphosphorsaeure;Adenosine 5'-pyrophosphate;Adenosine diphosphate;Adenosine pyrophosphate;Adenosine-5'-diphosphate;Adenosine-5-diphosphate;Adenosine-diphosphate;ADP
3-Hydroxyphenylacetate,C8H8O3,M+H,1133876.75,"InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",InChIKey=FVMDYYGIDFPZAX-UHFFFAOYSA-N,12122.0,144.0,152.047344,3.0,2.0,11.0,C8H8O3,2.0,57.5,0.9,1,3-Hydroxyphenylacetic acid,C8H8O3,InChIKey=FVMDYYGIDFPZAX-UHFFFAOYSA-N,152.047344122,0.93,-1.3,6.98 g/L,152.1473,OC(=O)CC1=CC=CC(O)=C1,HMDB00440,"InChI=1S/C8H8O3/c9-7-3-1-2-6(4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",3,4,-6,2,1.31,-1,14.78,57.53,39.35,2,2-(3-hydroxyphenyl)acetic acid,(3-hydroxyphenyl)acetic acid,(3-hydroxy-phenyl)-acetate;(3-hydroxy-phenyl)-acetic acid;3-Hydroxy-benzeneacetate;3-Hydroxy-benzeneacetic acid;3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid;m-Hydroxyphenylacetate;m-Hydroxyphenylacetic acid
